ID,Size,URL
MS-T37004619F-YESIL-XXL,XXL,https://www.marksandspencer.com.tr/kadin-yesil-pamuk-karisimli-pijama-takimi-10000001169284/
MS-T37004621F-YESIL-XS,XS,https://www.marksandspencer.com.tr/kadin-yesil-100-pamuklu-baskili-pijama-takimi-10000001169362/
MS-T37004621F-YESIL-S,S,https://www.marksandspencer.com.tr/kadin-yesil-100-pamuklu-baskili-pijama-takimi-10000001169362/
MS-T37004621F-YESIL-M,M,https://www.marksandspencer.com.tr/kadin-yesil-100-pamuklu-baskili-pijama-takimi-10000001169362/
MS-T37004621F-YESIL-L,L,https://www.marksandspencer.com.tr/kadin-yesil-100-pamuklu-baskili-pijama-takimi-10000001169362/
MS-T37004621F-YESIL-XL,XL,https://www.marksandspencer.com.tr/kadin-yesil-100-pamuklu-baskili-pijama-takimi-10000001169362/
MS-T37004620F-SIYAH-XS,XS,https://www.marksandspencer.com.tr/kadin-siyah-mix-flatpack-pijama-takimi-10000001169262/
MS-T37004620F-SIYAH-S,S,https://www.marksandspencer.com.tr/kadin-siyah-mix-flatpack-pijama-takimi-10000001169262/
MS-T37004620F-SIYAH-M,M,https://www.marksandspencer.com.tr/kadin-siyah-mix-flatpack-pijama-takimi-10000001169262/
MS-T37004620F-SIYAH-L,L,https://www.marksandspencer.com.tr/kadin-siyah-mix-flatpack-pijama-takimi-10000001169262/
MS-T37004620F-SIYAH-XL,XL,https://www.marksandspencer.com.tr/kadin-siyah-mix-flatpack-pijama-takimi-10000001169262/
MS-T37004619F-KREM-XS,XS,https://www.marksandspencer.com.tr/kadin-krem-pamuk-karisimli-pijama-takimi-10000001169202/
MS-T37004619F-KREM-S,S,https://www.marksandspencer.com.tr/kadin-krem-pamuk-karisimli-pijama-takimi-10000001169202/
MS-T37004619F-KREM-M,M,https://www.marksandspencer.com.tr/kadin-krem-pamuk-karisimli-pijama-takimi-10000001169202/
MS-T37004619F-KREM-L,L,https://www.marksandspencer.com.tr/kadin-krem-pamuk-karisimli-pijama-takimi-10000001169202/
MS-T37004619F-KREM-XL,XL,https://www.marksandspencer.com.tr/kadin-krem-pamuk-karisimli-pijama-takimi-10000001169202/
MS-T37004619F-KREM-XXL,XXL,https://www.marksandspencer.com.tr/kadin-krem-pamuk-karisimli-pijama-takimi-10000001169202/
SML-MS-T61006900H-XS,XS,https://www.marksandspencer.com.tr/kadin-krem-dantel-detayli-desenli-tanga-10000000961406/
SML-MS-T61006900H-S,S,https://www.marksandspencer.com.tr/kadin-krem-dantel-detayli-desenli-tanga-10000000961406/
SML-MS-T61006900H-M,M,https://www.marksandspencer.com.tr/kadin-krem-dantel-detayli-desenli-tanga-10000000961406/
SML-MS-T61006900H-L,L,https://www.marksandspencer.com.tr/kadin-krem-dantel-detayli-desenli-tanga-10000000961406/
SML-MS-T61006900H-XL,XL,https://www.marksandspencer.com.tr/kadin-krem-dantel-detayli-desenli-tanga-10000000961406/
SML-MS-T61006231L-XS,XS,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-high-leg-kulot-10000001023011/
SML-MS-T61006231L-S,S,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-high-leg-kulot-10000001023011/
SML-MS-T61006231L-M,M,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-high-leg-kulot-10000001023011/
SML-MS-T61006231L-L,L,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-high-leg-kulot-10000001023011/
SML-MS-T61006231L-XL,XL,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-high-leg-kulot-10000001023011/
SML-MS-T61004306L-XS,XS,https://www.marksandspencer.com.tr/kadin-beyaz-cicek-desenli-kulot-10000001177954/
SML-MS-T61004306L-S,S,https://www.marksandspencer.com.tr/kadin-beyaz-cicek-desenli-kulot-10000001177954/
SML-MS-T61004306L-M,M,https://www.marksandspencer.com.tr/kadin-beyaz-cicek-desenli-kulot-10000001177954/
SML-MS-T61004306L-L,L,https://www.marksandspencer.com.tr/kadin-beyaz-cicek-desenli-kulot-10000001177954/
SML-MS-T61004306L-XL,XL,https://www.marksandspencer.com.tr/kadin-beyaz-cicek-desenli-kulot-10000001177954/
SML-MS-T61006231B-XS,XS,https://www.marksandspencer.com.tr/kadin-pembe-kalp-detayli-brazilian-kulot-10000000810824/
SML-MS-T61006231B-S,S,https://www.marksandspencer.com.tr/kadin-pembe-kalp-detayli-brazilian-kulot-10000000810824/
SML-MS-T61006231B-M,M,https://www.marksandspencer.com.tr/kadin-pembe-kalp-detayli-brazilian-kulot-10000000810824/
SML-MS-T61006231B-L,L,https://www.marksandspencer.com.tr/kadin-pembe-kalp-detayli-brazilian-kulot-10000000810824/
SML-MS-T61006231B-XL,XL,https://www.marksandspencer.com.tr/kadin-pembe-kalp-detayli-brazilian-kulot-10000000810824/
SML-MS-T61006231B-MAVI-XS,XS,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-brazilian-kulot-10000001123485/
SML-MS-T61006231B-MAVI-S,S,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-brazilian-kulot-10000001123485/
SML-MS-T61006231B-MAVI-M,M,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-brazilian-kulot-10000001123485/
SML-MS-T61006231B-MAVI-L,L,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-brazilian-kulot-10000001123485/
SML-MS-T61006231B-MAVI-XL,XL,https://www.marksandspencer.com.tr/kadin-mavi-kalp-detayli-brazilian-kulot-10000001123485/
SML-MS-T61006231J-LACIVERT-XS,XS,https://www.marksandspencer.com.tr/kadin-lacivert-kalp-desenli-miami-kulot-10000000884347/
SML-MS-T61006231J-LACIVERT-S,S,https://www.marksandspencer.com.tr/kadin-lacivert-kalp-desenli-miami-kulot-10000000884347/
SML-MS-T61006231J-LACIVERT-M,M,https://www.marksandspencer.com.tr/kadin-lacivert-kalp-desenli-miami-kulot-10000000884347/
SML-MS-T61006231J-LACIVERT-L,L,https://www.marksandspencer.com.tr/kadin-lacivert-kalp-desenli-miami-kulot-10000000884347/
SML-MS-T61006231J-LACIVERT-XL,XL,https://www.marksandspencer.com.tr/kadin-lacivert-kalp-desenli-miami-kulot-10000000884347/
SML-MS-T61006231J-KIRMIZI-XS,XS,https://www.marksandspencer.com.tr/kadin-kirmizi-kalp-desenli-miami-kulot-10000000847011/
SML-MS-T61006231J-KIRMIZI-S,S,https://www.marksandspencer.com.tr/kadin-kirmizi-kalp-desenli-miami-kulot-10000000847011/
SML-MS-T61006231J-KIRMIZI-M,M,https://www.marksandspencer.com.tr/kadin-kirmizi-kalp-desenli-miami-kulot-10000000847011/
SML-MS-T61006231J-KIRMIZI-L,L,https://www.marksandspencer.com.tr/kadin-kirmizi-kalp-desenli-miami-kulot-10000000847011/
SML-MS-T61006231J-KIRMIZI-XL,XL,https://www.marksandspencer.com.tr/kadin-kirmizi-kalp-desenli-miami-kulot-10000000847011/
MS-T50005470T-MAVI-XS,XS,https://www.marksandspencer.com.tr/kadin-mavi-alpaka-karisimli-bisiklet-yaka-kazak-10000001226946/
MS-T50005470T-MAVI-S,S,https://www.marksandspencer.com.tr/kadin-mavi-alpaka-karisimli-bisiklet-yaka-kazak-10000001226946/
MS-T50005470T-MAVI-M,M,https://www.marksandspencer.com.tr/kadin-mavi-alpaka-karisimli-bisiklet-yaka-kazak-10000001226946/
MS-T50005470T-MAVI-L,L,https://www.marksandspencer.com.tr/kadin-mavi-alpaka-karisimli-bisiklet-yaka-kazak-10000001226946/
MS-T50005470T-MAVI-XL,XL,https://www.marksandspencer.com.tr/kadin-mavi-alpaka-karisimli-bisiklet-yaka-kazak-10000001226946/
MS-T06000112-KAHVE-XS,XS,https://www.marksandspencer.com.tr/kadin-kahverengi-v-yaka-kasmir-karisimli-yun-kazak-10000000793340/
MS-T06000112-KAHVE-S,S,https://www.marksandspencer.com.tr/kadin-kahverengi-v-yaka-kasmir-karisimli-yun-kazak-10000000793340/
MS-T06000112-KAHVE-M,M,https://www.marksandspencer.com.tr/kadin-kahverengi-v-yaka-kasmir-karisimli-yun-kazak-10000000793340/
MS-T06000112-KAHVE-L,L,https://www.marksandspencer.com.tr/kadin-kahverengi-v-yaka-kasmir-karisimli-yun-kazak-10000000793340/
MS-T06000112-KAHVE-XL,XL,https://www.marksandspencer.com.tr/kadin-kahverengi-v-yaka-kasmir-karisimli-yun-kazak-10000000793340/
MS-T07000093-GRI-S,S,https://www.marksandspencer.com.tr/erkek-gri-henley-pijama-takimi-10000001139943/
MS-T07000093-GRI-M,M,https://www.marksandspencer.com.tr/erkek-gri-henley-pijama-takimi-10000001139943/
MS-T07000093-GRI-L,L,https://www.marksandspencer.com.tr/erkek-gri-henley-pijama-takimi-10000001139943/
MS-T07000093-GRI-XL,XL,https://www.marksandspencer.com.tr/erkek-gri-henley-pijama-takimi-10000001139943/
MS-T07000093-GRI-XXL,XXL,https://www.marksandspencer.com.tr/erkek-gri-henley-pijama-takimi-10000001139943/
